epoch,elapsed_sec,rmse_loss,lambda_hint
0,1.252,1.56295649e-01,1.000000
1,2.372,1.35250792e-01,0.900000
2,3.429,1.19596316e-01,0.800000
3,4.495,1.05244019e-01,0.700000
4,5.540,9.12769171e-02,0.600000
5,6.590,7.73494317e-02,0.500000
6,7.643,6.34962260e-02,0.400000
7,8.686,4.97151280e-02,0.300000
8,9.722,3.58311036e-02,0.200000
9,10.774,2.46449325e-02,0.100000
10,11.855,2.65775088e-02,0.000000
11,13.011,1.38811439e-02,0.000000
